state,date,strat,type,bottom,top,lower,upper,central_lower,central_upper,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Delaware,2020-10-12,,estimate,,,,,,,0.012,0.011,0.011,-0.008,0.005,0.01,0.014,0.018,0.027
Arkansas,2020-10-14,,estimate,,,,,,,0.012,0.012,0.005,0.004,0.01,0.011,0.013,0.015,0.019
Georgia,2020-10-24,,estimate,,,,,,,0.012,0.013,0.012,-0.004,0.006,0.009,0.015,0.019,0.032
Delaware,2020-10-13,,estimate,,,,,,,0.013,0.012,0.011,-0.006,0.007,0.011,0.016,0.019,0.028
Arkansas,2020-10-15,,estimate,,,,,,,0.013,0.013,0.005,0.005,0.01,0.012,0.014,0.016,0.02
Arizona,2020-09-27,,estimate,,,,,,,0.013,0.013,0.008,-0.001,0.008,0.012,0.015,0.018,0.024
Delaware,2020-09-05,,estimate,,,,,,,0.013,0.013,0.013,-0.008,0.005,0.01,0.016,0.021,0.036
Georgia,2020-10-25,,estimate,,,,,,,0.013,0.014,0.012,-0.003,0.007,0.01,0.016,0.02,0.035
Arkansas,2020-10-16,,estimate,,,,,,,0.014,0.014,0.005,0.006,0.011,0.013,0.015,0.016,0.021
Delaware,2020-10-14,,estimate,,,,,,,0.014,0.014,0.011,-0.005,0.008,0.012,0.017,0.02,0.029
Georgia,2020-10-26,,estimate,,,,,,,0.014,0.015,0.012,-0.002,0.007,0.011,0.017,0.022,0.037
Delaware,2020-09-04,,estimate,,,,,,,0.014,0.015,0.014,-0.007,0.005,0.011,0.017,0.023,0.04
Arkansas,2020-10-17,,estimate,,,,,,,0.015,0.014,0.005,0.007,0.012,0.014,0.016,0.017,0.022
Arkansas,2020-10-18,,estimate,,,,,,,0.015,0.015,0.005,0.008,0.013,0.014,0.016,0.018,0.022
Arizona,2020-09-28,,estimate,,,,,,,0.015,0.015,0.008,0.001,0.01,0.013,0.017,0.019,0.026
Georgia,2020-10-27,,estimate,,,,,,,0.015,0.016,0.013,-0.001,0.008,0.012,0.018,0.023,0.039
Delaware,2020-09-03,,estimate,,,,,,,0.015,0.017,0.016,-0.006,0.006,0.012,0.019,0.026,0.044
Delaware,2020-10-15,,estimate,,,,,,,0.016,0.015,0.011,-0.004,0.009,0.013,0.018,0.021,0.031
Arkansas,2020-10-19,,estimate,,,,,,,0.016,0.016,0.005,0.009,0.014,0.015,0.017,0.019,0.023
Arizona,2020-09-29,,estimate,,,,,,,0.016,0.016,0.008,0.003,0.012,0.015,0.018,0.021,0.029
Georgia,2020-10-28,,estimate,,,,,,,0.016,0.017,0.013,-0.001,0.009,0.013,0.019,0.025,0.042
Arkansas,2020-10-20,,estimate,,,,,,,0.017,0.017,0.005,0.01,0.014,0.016,0.018,0.02,0.024
Delaware,2020-10-16,,estimate,,,,,,,0.017,0.017,0.011,-0.002,0.011,0.015,0.019,0.023,0.033
Georgia,2020-10-29,,estimate,,,,,,,0.017,0.018,0.014,0,0.009,0.014,0.02,0.026,0.043
Delaware,2020-09-02,,estimate,,,,,,,0.017,0.018,0.017,-0.006,0.007,0.013,0.021,0.028,0.05
Arkansas,2020-10-21,,estimate,,,,,,,0.018,0.018,0.005,0.011,0.015,0.017,0.019,0.021,0.025
Arizona,2020-09-30,,estimate,,,,,,,0.018,0.018,0.008,0.005,0.013,0.016,0.02,0.023,0.032
Delaware,2020-10-17,,estimate,,,,,,,0.018,0.018,0.011,0,0.013,0.016,0.021,0.024,0.035
Georgia,2020-10-30,,estimate,,,,,,,0.018,0.019,0.014,0,0.01,0.015,0.021,0.027,0.045
Delaware,2020-09-01,,estimate,,,,,,,0.018,0.02,0.019,-0.006,0.008,0.014,0.023,0.031,0.055
Arkansas,2020-10-22,,estimate,,,,,,,0.019,0.019,0.005,0.012,0.016,0.018,0.02,0.022,0.026
Georgia,2020-10-31,,estimate,,,,,,,0.019,0.02,0.014,0,0.01,0.015,0.022,0.029,0.046
Georgia,2020-11-01,,estimate,,,,,,,0.019,0.021,0.015,0,0.01,0.016,0.023,0.03,0.048
Delaware,2020-08-31,,estimate,,,,,,,0.019,0.022,0.021,-0.007,0.008,0.014,0.024,0.034,0.061
Arkansas,2020-10-23,,estimate,,,,,,,0.02,0.02,0.005,0.013,0.017,0.019,0.021,0.023,0.027
Arizona,2020-10-01,,estimate,,,,,,,0.02,0.02,0.008,0.007,0.015,0.018,0.021,0.025,0.035
Delaware,2020-10-18,,estimate,,,,,,,0.02,0.02,0.011,0.002,0.014,0.018,0.022,0.026,0.037
Georgia,2020-11-02,,estimate,,,,,,,0.02,0.022,0.016,0,0.011,0.016,0.024,0.031,0.05
Delaware,2020-08-30,,estimate,,,,,,,0.02,0.024,0.023,-0.008,0.008,0.015,0.026,0.036,0.067
Connecticut,2020-09-12,,estimate,,,,,,,0.021,0.02,0.01,0.002,0.014,0.018,0.023,0.027,0.035
Connecticut,2020-09-09,,estimate,,,,,,,0.021,0.02,0.01,0.002,0.014,0.018,0.023,0.027,0.036
Connecticut,2020-09-10,,estimate,,,,,,,0.021,0.02,0.01,0.002,0.014,0.018,0.023,0.027,0.036
Connecticut,2020-09-13,,estimate,,,,,,,0.021,0.02,0.01,0.002,0.014,0.019,0.023,0.027,0.035
Connecticut,2020-09-11,,estimate,,,,,,,0.021,0.02,0.01,0.003,0.014,0.018,0.023,0.027,0.036
