region,date,confirm
Baden-Württemberg,2020-12-06,779
Bayern,2020-12-06,1174
Berlin,2020-12-06,178
Brandenburg,2020-12-06,88
Bremen,2020-12-06,40
Hamburg,2020-12-06,72
Hessen,2020-12-06,334
Mecklenburg-Vorpommern,2020-12-06,34
Niedersachsen,2020-12-06,224
Nordrhein-Westfalen,2020-12-06,1054
Rheinland-Pfalz,2020-12-06,252
Saarland,2020-12-06,108
Sachsen,2020-12-06,497
Sachsen-Anhalt,2020-12-06,116
Schleswig-Holstein,2020-12-06,99
Thüringen,2020-12-06,245
Baden-Württemberg,2020-12-07,966
Bayern,2020-12-07,1318
Berlin,2020-12-07,547
Brandenburg,2020-12-07,385
Bremen,2020-12-07,29
Hamburg,2020-12-07,77
Hessen,2020-12-07,500
Mecklenburg-Vorpommern,2020-12-07,59
Niedersachsen,2020-12-07,528
Nordrhein-Westfalen,2020-12-07,1592
Rheinland-Pfalz,2020-12-07,398
Saarland,2020-12-07,48
Sachsen,2020-12-07,686
Sachsen-Anhalt,2020-12-07,285
Schleswig-Holstein,2020-12-07,115
Thüringen,2020-12-07,318
Baden-Württemberg,2020-12-08,1491
Bayern,2020-12-08,1918
Berlin,2020-12-08,559
Brandenburg,2020-12-08,468
Bremen,2020-12-08,58
Hamburg,2020-12-08,62
Hessen,2020-12-08,812
Mecklenburg-Vorpommern,2020-12-08,191
Niedersachsen,2020-12-08,689
Nordrhein-Westfalen,2020-12-08,1762
Rheinland-Pfalz,2020-12-08,439
Saarland,2020-12-08,107
Sachsen,2020-12-08,638
Sachsen-Anhalt,2020-12-08,329
