"dataset","subregion","start_date","runtime","start_date_1","runtime_1","start_date_2","runtime_2","start_date_3","runtime_3","start_date_4","runtime_4"
"belgium","Brussels",2020-09-29 07:31:52,1504.035,2020-09-28 18:40:51,1256.098,2020-09-27 00:01:18,856.972,2020-09-27 03:05:12,1133.911,2020-09-21 07:47:19,999999
"belgium","Flanders",2020-09-29 07:31:52,1461.759,2020-09-28 18:40:51,3962.946,2020-09-27 00:01:18,5857.875,2020-09-27 03:05:12,1151.381,2020-09-21 07:47:19,999999
"belgium","Unknown",2020-09-29 07:31:52,8077.278,2020-09-28 18:40:51,1108.218,2020-09-27 00:01:18,730.881000000001,2020-09-27 03:05:12,942.042,2020-09-21 07:47:19,999999
"belgium","Wallonia",2020-09-29 07:31:52,1417.825,2020-09-28 18:40:51,1721.428,2020-09-27 00:01:18,979.157999999999,2020-09-27 03:05:12,8391.148,2020-09-21 07:47:19,999999
"brazil","Acre",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,1508.78,2020-09-28 19:47:16,1157.436,2020-09-27 01:39:05,801.496999999999,2020-09-27 05:25:25,1168.188
"brazil","Alagoas",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,2002.072,2020-09-28 19:47:16,2270.598,2020-09-27 01:39:05,1760.995,2020-09-27 05:25:25,2350.686
"brazil","Amapá",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,2928.937,2020-09-28 19:47:16,2828.511,2020-09-27 01:39:05,1705.548,2020-09-27 05:25:25,2597.244
"brazil","Amazonas",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,1721.778,2020-09-28 19:47:16,1828.445,2020-09-27 01:39:05,1052.397,2020-09-27 05:25:25,2343.504
"brazil","Bahia",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,1948.976,2020-09-28 19:47:16,1845.193,2020-09-27 01:39:05,-1,2020-09-27 05:25:25,2299.839
"brazil","Ceará",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,1229.701,2020-09-28 19:47:16,1249.432,2020-09-27 01:39:05,1074.596,2020-09-27 05:25:25,1407.28
"brazil","Distrito Federal",2020-09-30 00:06:03,-1,2020-09-29 09:46:50,1784.354,2020-09-28 19:47:16,2320.836,2020-09-27 01:39:05,1237.629,2020-09-27 05:25:25,2078.173
"brazil"         ,"Espirito Santo"                                         ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2697.482        ,2020-09-28 19:47:16,2542.584        ,2020-09-27 01:39:05,2355.865        ,2020-09-27 05:25:25,2727.971
"brazil"         ,"Goiás"                                                  ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1052.168        ,2020-09-28 19:47:16,1106.006        ,2020-09-27 01:39:05,917.383         ,2020-09-27 05:25:25,1284.402
"brazil"         ,"Maranhão"                                               ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1699.36         ,2020-09-28 19:47:16,1658.641        ,2020-09-27 01:39:05,1267.365        ,2020-09-27 05:25:25,2109.649
"brazil"         ,"Mato Grosso"                                            ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1517.387        ,2020-09-28 19:47:16,1541.781        ,2020-09-27 01:39:05,1136.409        ,2020-09-27 05:25:25,1538.663
"brazil"         ,"Mato Grosso do Sul"                                     ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1716.102        ,2020-09-28 19:47:16,1723.494        ,2020-09-27 01:39:05,1158.428        ,2020-09-27 05:25:25,2196.222
"brazil"         ,"Minas Gerais"                                           ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2517.319        ,2020-09-28 19:47:16,-1              ,2020-09-27 01:39:05,1665.256        ,2020-09-27 05:25:25,2113.834
"brazil"         ,"Pará"                                                   ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2679.416        ,2020-09-28 19:47:16,-1              ,2020-09-27 01:39:05,1383.662        ,2020-09-27 05:25:25,2560.167
"brazil"         ,"Paraíba"                                                ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1906.724        ,2020-09-28 19:47:16,1725.431        ,2020-09-27 01:39:05,-1              ,2020-09-27 05:25:25,1783.523
"brazil"         ,"Paraná"                                                 ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2578.996        ,2020-09-28 19:47:16,2275.049        ,2020-09-27 01:39:05,1922.593        ,2020-09-27 05:25:25,2007.479
