Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Equatorial Guinea,6 (1 -- 27),Likely increasing,1 (0.74 -- 1.4),0.013 (-0.075 -- 0.095),53 (7.3 -- -9.2)
Eritrea,150 (22 -- 846),Likely increasing,1.2 (0.67 -- 1.7),0.056 (-0.094 -- 0.17),12 (4.1 -- -7.4)
Estonia,766 (328 -- 2181),Likely increasing,1.1 (0.77 -- 1.7),0.028 (-0.065 -- 0.18),24 (3.8 -- -11)
Eswatini,248 (82 -- 630),Stable,0.96 (0.58 -- 1.3),-0.012 (-0.12 -- 0.085),-56 (8.2 -- -5.7)
Ethiopia,415 (261 -- 671),Likely decreasing,0.95 (0.79 -- 1.1),-0.014 (-0.058 -- 0.036),-48 (19 -- -12)
Faroe Islands,9 (1 -- 38),Stable,1.1 (0.64 -- 1.7),0.024 (-0.11 -- 0.17),29 (4.1 -- -6.5)
Finland,128 (51 -- 263),Stable,0.77 (0.53 -- 0.99),-0.064 (-0.14 -- -0.0038),-11 (-180 -- -5)
France,24087 (9267 -- 76878),Likely increasing,1.2 (0.83 -- 2),0.062 (-0.05 -- 0.25),11 (2.7 -- -14)
French Guiana,201 (68 -- 537),Likely increasing,1.1 (0.81 -- 1.4),0.029 (-0.054 -- 0.097),24 (7.1 -- -13)
French Polynesia,47 (17 -- 130),Likely decreasing,0.9 (0.64 -- 1.2),-0.028 (-0.11 -- 0.066),-25 (10 -- -6.5)
Gabon,15 (5 -- 47),Likely increasing,1 (0.84 -- 1.3),0.0099 (-0.045 -- 0.07),70 (9.9 -- -15)
Gambia,12 (1 -- 213),Stable,1.6 (0.93 -- 4),0.16 (-0.018 -- 0.67),4.5 (1 -- -38)
Georgia,1306 (574 -- 4676),Likely increasing,1.1 (0.79 -- 1.9),0.024 (-0.058 -- 0.23),29 (3 -- -12)
Germany,20056 (11016 -- 46495),Likely increasing,1.1 (0.87 -- 1.7),0.035 (-0.038 -- 0.18),20 (3.9 -- -18)
Ghana,116 (35 -- 337),Stable,0.95 (0.65 -- 1.3),-0.013 (-0.1 -- 0.073),-53 (9.5 -- -6.8)
Gibraltar,148 (34 -- 642),Likely increasing,1 (0.48 -- 2),0.0041 (-0.16 -- 0.24),170 (2.9 -- -4.4)
Greece,782 (422 -- 1559),Stable,1.1 (0.87 -- 1.5),0.036 (-0.037 -- 0.13),19 (5.2 -- -19)
Grenada,0 (0 -- 1),Stable,0.17 (0.0033 -- 1),-0.28 (-0.38 -- 0.012),-2.5 (57 -- -1.8)
Guadeloupe,8 (1 -- 67),Likely decreasing,1 (0.59 -- 1.8),0.013 (-0.12 -- 0.2),52 (3.5 -- -5.8)
Guam,9 (3 -- 34),Stable,1.1 (0.77 -- 1.6),0.021 (-0.066 -- 0.17),33 (4.2 -- -10)
Guatemala,419 (325 -- 558),Likely decreasing,0.99 (0.94 -- 1.1),-0.0033 (-0.018 -- 0.015),-210 (47 -- -39)
Guernsey,0 (0 -- 3),Stable,1 (0.6 -- 1.7),0.0034 (-0.12 -- 0.17),200 (4.1 -- -6)
Guinea,15 (6 -- 42),Likely decreasing,0.95 (0.79 -- 1.2),-0.014 (-0.06 -- 0.052),-51 (13 -- -12)
Guinea-Bissau,0 (0 -- 0),Likely decreasing,0.61 (0.065 -- 1),-0.11 (-0.33 -- 0.0034),-6.1 (200 -- -2.1)
Guyana,9 (3 -- 21),Likely decreasing,0.85 (0.66 -- 1.1),-0.041 (-0.1 -- 0.017),-17 (41 -- -6.9)
Haiti,32 (4 -- 134),Stable,1 (0.6 -- 1.3),0.0064 (-0.12 -- 0.089),110 (7.8 -- -5.8)
Honduras,374 (169 -- 670),Likely decreasing,0.97 (0.73 -- 1.1),-0.0074 (-0.079 -- 0.037),-94 (19 -- -8.8)
Hungary,3158 (1306 -- 9443),Likely increasing,1.3 (0.94 -- 2.2),0.091 (-0.017 -- 0.28),7.6 (2.5 -- -41)
Iceland,14 (4 -- 49),Stable,1.1 (0.75 -- 1.7),0.021 (-0.07 -- 0.17),33 (4 -- -9.9)
India,12958 (8655 -- 18626),Likely decreasing,0.87 (0.69 -- 1.1),-0.036 (-0.089 -- 0.017),-19 (41 -- -7.8)
Indonesia,8514 (7071 -- 10523),Likely increasing,1 (0.97 -- 1.1),0.0092 (-0.0085 -- 0.03),75 (23 -- -82)
Iran,4300 (2826 -- 7547),,0.82 (0.64 -- 1.2),-0.05 (-0.1 -- 0.044),-14 (16 -- -6.6)
Iraq,530 (400 -- 688),Likely decreasing,0.88 (0.78 -- 0.98),-0.033 (-0.062 -- -0.0065),-21 (-110 -- -11)
Ireland,55267 (23805 -- 136482),Likely increasing,2.5 (1.8 -- 3.7),0.36 (0.19 -- 0.6),1.9 (1.1 -- 3.6)
Isle of Man,3 (0 -- 59),Likely increasing,1.5 (0.97 -- 3.1),0.12 (-0.0073 -- 0.47),5.7 (1.5 -- -95)
Israel,12047 (5634 -- 25621),Likely increasing,1.2 (0.88 -- 1.7),0.063 (-0.033 -- 0.18),11 (3.8 -- -21)
Italy,27660 (18584 -- 45122),Likely increasing,1.3 (1 -- 1.6),0.068 (0.012 -- 0.15),10 (4.7 -- 56)
Jamaica,74 (43 -- 140),Stable,1 (0.87 -- 1.3),0.0053 (-0.036 -- 0.069),130 (10 -- -19)
Japan,7751 (5380 -- 12494),Likely increasing,1.2 (1.1 -- 1.6),0.067 (0.021 -- 0.15),10 (4.8 -- 33)
Jersey,10 (0 -- 97),Likely increasing,0.58 (0.18 -- 1.2),-0.12 (-0.27 -- 0.042),-5.7 (16 -- -2.5)
Jordan,1173 (652 -- 2123),Stable,0.95 (0.73 -- 1.2),-0.013 (-0.078 -- 0.061),-53 (11 -- -8.9)
Kazakhstan,630 (346 -- 1057),Stable,0.92 (0.71 -- 1.1),-0.023 (-0.083 -- 0.031),-30 (23 -- -8.4)
Kenya,122 (62 -- 304),Stable,0.87 (0.69 -- 1.2),-0.036 (-0.09 -- 0.063),-19 (11 -- -7.7)
Kosovo,492 (238 -- 1185),Stable,1.5 (1.1 -- 2.2),0.12 (0.016 -- 0.29),5.6 (2.4 -- 44)
Kuwait,742 (404 -- 1531),Stable,1.4 (1.1 -- 2),0.12 (0.026 -- 0.25),6 (2.7 -- 27)
Kyrgyzstan,94 (59 -- 169),Likely decreasing,0.94 (0.79 -- 1.2),-0.017 (-0.06 -- 0.054),-41 (13 -- -12)
Latvia,1059 (614 -- 1821),Likely increasing,1 (0.87 -- 1.2),0.011 (-0.036 -- 0.063),61 (11 -- -19)
Lebanon,6461 (4717 -- 9619),Likely increasing,1.3 (1.1 -- 1.5),0.077 (0.037 -- 0.13),9 (5.3 -- 19)
Lesotho,0 (0 -- 8),Likely decreasing,0.5 (0.046 -- 1.1),-0.15 (-0.34 -- 0.016),-4.6 (42 -- -2.1)
Liberia,0 (0 -- 0),Stable,0.38 (0.058 -- 0.83),-0.19 (-0.33 -- -0.049),-3.6 (-14 -- -2.1)
Libya,424 (292 -- 568),Likely decreasing,0.94 (0.83 -- 1),-0.016 (-0.048 -- 0.0084),-44 (82 -- -14)
Liechtenstein,23 (3 -- 145),Stable,0.93 (0.42 -- 1.7),-0.019 (-0.18 -- 0.17),-36 (4.1 -- -3.9)
Lithuania,1597 (807 -- 3035),Likely increasing,0.9 (0.68 -- 1.2),-0.028 (-0.092 -- 0.047),-25 (15 -- -7.5)
Luxembourg,95 (30 -- 431),Stable,0.89 (0.58 -- 1.6),-0.03 (-0.12 -- 0.16),-23 (4.2 -- -5.6)
Madagascar,2 (0 -- 21),Likely decreasing,0.88 (0.4 -- 1.5),-0.033 (-0.18 -- 0.12),-21 (5.8 -- -3.8)
Malawi,589 (190 -- 2194),Likely increasing,1.7 (1.2 -- 2.4),0.17 (0.053 -- 0.33),4.1 (2.1 -- 13)
Malaysia,2642 (1612 -- 4743),Likely increasing,1.1 (0.91 -- 1.3),0.022 (-0.025 -- 0.09),31 (7.7 -- -27)
Maldives,58 (21 -- 156),Stable,1.2 (0.79 -- 1.7),0.05 (-0.061 -- 0.17),14 (4 -- -11)
Mali,91 (30 -- 291),Likely increasing,1 (0.73 -- 1.4),0.0014 (-0.077 -- 0.1),480 (6.6 -- -9)
